0,person,1,279.57,3.37,555.90,845.83
0,person,2,1499.26,96.75,421.03,982.46
0,person,3,754.45,105.22,616.37,894.07
0,person,4,0.82,61.25,387.47,1028.95
1,person,1,279.53,4.37,553.12,845.14
1,person,2,1503.60,90.69,416.30,985.51
1,person,3,752.40,104.08,614.01,897.22
1,person,4,0.54,60.52,386.93,1027.93
2,person,1,276.14,4.81,555.27,852.03
2,person,2,1498.19,99.28,420.10,982.72
2,person,3,755.23,106.29,608.40,900.08
2,person,4,3.97,59.19,388.45,1030.19
3,person,1,271.48,4.96,559.65,860.17
3,person,2,1495.25,101.11,422.85,981.35
3,person,3,753.74,107.48,608.81,907.27
3,person,4,4.33,58.01,390.04,1033.84
4,person,1,266.09,5.68,563.30,868.58
4,person,2,1494.44,101.05,424.10,980.10
4,person,3,751.09,107.87,612.35,913.98
4,person,4,5.02,56.58,392.51,1036.64
5,person,1,261.62,4.38,565.43,872.52
5,person,2,1493.79,101.23,425.07,979.09
5,person,3,749.55,107.76,613.17,919.33
5,person,4,1.44,57.29,390.78,1034.55
6,person,1,257.82,4.13,566.47,875.29
6,person,2,1492.72,101.28,426.32,978.66
6,person,3,750.01,107.04,612.47,923.16
6,person,4,0.49,57.01,389.81,1033.23
7,person,1,254.94,2.87,566.63,875.68
7,person,2,1491.88,100.50,427.39,978.90
7,person,3,748.28,105.29,613.20,923.25
7,person,4,1.18,56.15,390.68,1033.69
8,person,1,252.16,1.53,567.21,873.90
8,person,2,1490.95,100.06,428.40,978.97
8,person,3,742.68,103.12,615.96,924.94
8,person,4,14.13,44.04,411.78,1046.76
9,person,1,249.61,0.60,566.84,870.54
9,person,2,1490.32,98.55,429.23,980.19
9,person,3,734.47,100.78,622.77,930.68
9,person,4,17.72,37.73,429.83,1057.19
10,person,1,250.86,1.34,563.16,866.14
10,person,2,1490.01,96.64,429.72,981.77
10,person,3,728.82,98.57,627.57,933.11
10,person,4,19.51,30.10,449.84,1068.55
11,person,1,251.83,0.91,559.38,861.19
11,person,2,1489.68,96.12,430.00,982.97
11,person,3,723.23,97.14,632.18,933.12
11,person,4,19.25,21.06,469.72,1080.57
12,person,1,250.28,2.81,555.94,857.25
12,person,2,1490.02,96.19,429.87,983.67
12,person,3,727.59,95.53,628.80,930.57
12,person,4,14.14,16.72,480.61,1084.97
13,person,1,246.47,2.14,556.17,854.66
13,person,2,1489.67,95.97,430.10,984.66
13,person,3,719.42,92.21,634.48,925.84
13,person,4,11.53,11.07,491.19,1089.82
14,person,1,246.25,0.92,554.72,850.85
14,person,2,1488.92,95.44,430.71,985.57
14,person,3,715.45,91.09,639.33,921.51
14,person,4,8.97,6.77,498.97,1090.26
15,person,1,240.02,-0.32,557.93,848.92
15,person,2,1488.27,95.23,431.29,986.29
15,person,3,710.72,91.32,645.63,919.23
15,person,4,5.38,7.82,502.75,1092.03
16,person,1,236.85,-0.27,559.62,847.40
16,person,2,1487.24,95.59,432.11,986.68
16,person,3,708.43,92.15,649.15,918.74
16,person,4,3.12,7.52,505.26,1092.46
17,person,1,229.65,-0.04,564.55,848.63
17,person,2,1485.99,93.35,433.14,988.69
17,person,3,704.83,94.73,652.44,922.01
17,person,4,1.61,11.68,506.00,1091.33
18,person,1,221.05,0.65,570.09,850.38
18,person,2,1484.36,90.56,434.48,991.00
18,person,3,702.73,94.81,654.58,922.31
18,person,4,-1.07,14.78,503.08,1083.68
19,person,1,209.53,0.45,577.71,853.20
19,person,2,1482.77,88.39,435.87,993.58
